"country","latestRate","dataYear","pop2022"
"Finland","100","2000","5540745"
"Norway","100","2011","5434319"
"Luxembourg","100","2000","647599"
"Andorra","100","2011","79824"
"Greenland","100","2001","56466"
"Liechtenstein","100","2011","39327"
"Uzbekistan","99.9952","2015","34627652"
"Latvia","99.8927","2015","1850651"
"Estonia","99.8235","2015","1326062"
"Lithuania","99.8233","2015","2750055"
"Azerbaijan","99.8053","2015","10358074"
"Guam","99.7890","2015","171774"
"Kazakhstan","99.7878","2015","19397998"
"Poland","99.7874","2015","39857145"
"Tajikistan","99.7811","2015","9952787"
"Armenia","99.7684","2015","2780469"
"Ukraine","99.7641","2015","39701739"
"Georgia","99.7596","2015","3744385"
"Belarus","99.7220","2015","9534954"
"Russia","99.7196","2015","144713314"
"Slovenia","99.7148","2015","2119844"
"Cuba","99.7107","2015","11212191"
"Barbados","99.7000","2002","281635"
"Turkmenistan","99.6929","2015","6430770"
"Slovakia","99.6000","2004","5643453"
"Palau","99.5240","2015","18055"
"Kyrgyzstan","99.5013","2015","6630623"
"Tonga","99.3979","2015","106858"
"Hungary","99.3809","2015","9967308"
"Maldives","99.3210","2015","523787.0000"
"Croatia","99.2726","2015","4030358"
"Moldova","99.2444","2015","3272996"
"Cyprus","99.0598","2015","1251488"
"Italy","99.0158","2015","59037474"
"Samoa","99.0150","2015","222382"
"United States","99","2003","338289857"
"Japan","99","2002","123951692"
"Germany","99","2003","83369843"
"United Kingdom","99","2003","67508936"
"France","99","2003","64626628"
"Canada","99","2003","38454327"
"Australia","99","2003","26177413"
"Netherlands","99","2003","17564014"
"Belgium","99","2003","11655930"
"Sweden","99","2003","10549347"
"Switzerland","99","2003","8740472"
"Denmark","99","2003","5882261"
"New Zealand","99","2003","5185288"
"Ireland","99","2003","5023109"
"Iceland","99","2003","372899"
"Monaco","99","2003","36469"
"Saint Pierre and Miquelon","99","1982","5862"
"Trinidad and Tobago","98.9696","2015","1531044"
"Antigua and Barbuda","98.9500","2014","93763"
"Cayman Islands","98.8678","2007","68706"
